video_id,path,label,method,source_id,n_frames,fps,duration_sec,width,height
Deepfakes_000_003,dataset/fake/Deepfakes/000_003.mp4,fake,Deepfakes,000,396,25.0,15.84,640,480
Deepfakes_001_870,dataset/fake/Deepfakes/001_870.mp4,fake,Deepfakes,001,460,25.0,18.4,1280,720
Deepfakes_002_006,dataset/fake/Deepfakes/002_006.mp4,fake,Deepfakes,002,693,30.0,23.1,1280,720
Deepfakes_003_000,dataset/fake/Deepfakes/003_000.mp4,fake,Deepfakes,003,303,25.0,12.12,640,480
Deepfakes_004_982,dataset/fake/Deepfakes/004_982.mp4,fake,Deepfakes,004,309,25.0,12.36,1280,720
Deepfakes_005_010,dataset/fake/Deepfakes/005_010.mp4,fake,Deepfakes,005,385,25.0,15.4,720,480
Deepfakes_006_002,dataset/fake/Deepfakes/006_002.mp4,fake,Deepfakes,006,310,30.0,10.333333333333334,1280,720
Deepfakes_007_132,dataset/fake/Deepfakes/007_132.mp4,fake,Deepfakes,007,505,25.0,20.2,600,480
Deepfakes_008_990,dataset/fake/Deepfakes/008_990.mp4,fake,Deepfakes,008,637,25.0,25.48,640,480
Deepfakes_009_027,dataset/fake/Deepfakes/009_027.mp4,fake,Deepfakes,009,588,30.0,19.6,640,480
Face2Face_000_003,dataset/fake/Face2Face/000_003.mp4,fake,Face2Face,000,303,25.0,12.12,640,480
Face2Face_001_870,dataset/fake/Face2Face/001_870.mp4,fake,Face2Face,001,604,25.0,24.16,1280,720
Face2Face_002_006,dataset/fake/Face2Face/002_006.mp4,fake,Face2Face,002,310,30.0,10.333333333333334,1280,720
Face2Face_003_000,dataset/fake/Face2Face/003_000.mp4,fake,Face2Face,003,396,25.0,15.84,640,480
Face2Face_004_982,dataset/fake/Face2Face/004_982.mp4,fake,Face2Face,004,845,25.0,33.8,1280,720
Face2Face_005_010,dataset/fake/Face2Face/005_010.mp4,fake,Face2Face,005,474,25.0,18.96,704,480
Face2Face_006_002,dataset/fake/Face2Face/006_002.mp4,fake,Face2Face,006,693,30.0,23.1,1280,720
